no,name,gubun,do,sigungu,address,주요시설 일반야영장,주요시설 자동차야영장,주요시설 글램핑,주요시설 카라반,주요시설 개인 카라반,주요시설 덤프스테이션,사이트 크기1 가로,사이트 크기2 가로,사이트 크기3 가로,사이트 크기1 세로,사이트 크기2 세로,사이트 크기3 세로,사이트 크기1 수량,사이트 크기2 수량,사이트 크기3 수량,인허가일자,화로대,부대시설,주변이용가능시설,소화기 개수,방화수 개수,방화사 개수,화재감지기 개수,테마환경,캠핑장비대여,반려동물출입,longitude,latitude
3732,스톤브룩 캠핑장,민간,경기도,연천군,경기 연천군 군남면 진은로606번길 110,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,2022.11.17,개별,"전기,장작판매,온수,트렘폴린,운동시설",계곡 물놀이,0,0,0,0,"낚시,봄꽃여행,여름물놀이,가을단풍명소,걷기길",,가능(소형견),,
3733,옥당걸숲속관광농원,민간,경상북도,김천시,경북 김천시 부항면 안간1길 700,0,25,0,0,0,0,0,0,0,0,0,0,4,5,3,2022.11.18,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,산책로,운동장,운동시설,마트_편의점","계곡 물놀이,산책로",25,0,0,0,"봄꽃여행,여름물놀이,가을단풍명소,걷기길",,가능(소형견),,
3734,초정216,민간,충청북도,청주시,충북 청주시 청원구 내수읍 미원초정로 1238,0,28,2,5,0,0,0,0,0,0,0,0,3,14,9,2022.11.21,개별,"전기,무선인터넷,장작판매,온수,운동시설",산책로,21,0,0,5,걷기길,,가능(소형견),,
3735,벤캠프(Ben Camp),민간,경기도,포천시,경기 포천시 영북면 산정호수로 834-12,0,24,0,8,0,0,0,0,0,0,0,0,0,0,0,2022.11.21,개별,"전기,무선인터넷,장작판매,온수,운동시설",수상레저,0,0,0,0,"가을단풍명소,겨울눈꽃명소",,가능(소형견),,
3736,메이플 포레스트,민간,강원도,양양군,강원 양양군 현남면 북죽로 110-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022.11.21,,,,0,0,0,0,,,,,
3737,일영Star캠핑장,민간,경기도,양주시,경기 양주시 장흥면 유원지로 406-144,0,48,0,0,0,0,0,0,0,0,0,0,48,0,0,2022.11.22,개별,"전기,무선인터넷,장작판매,온수,운동시설","계곡 물놀이,강/물놀이,농어촌체험시설",0,0,0,0,"여름물놀이,가을단풍명소",,가능,,
3738,THE쉼오토캠핑장,민간,충청남도,태안군,충남 태안군 태안읍 안도내길 58-9,0,40,0,0,0,0,0,0,0,0,0,0,40,0,0,2022.11.22,개별,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,운동시설,마트_편의점","산책로,낚시,해수욕,청소년체험시설",20,0,0,0,"일몰명소,수상레저,낚시,여름물놀이,걷기길",릴선,가능(소형견),,
3739,가평다온캠핑장,민간,경기도,가평군,경기 가평군 조종면 운악청계로 351-42,0,0,17,3,0,0,0,0,0,0,0,0,0,0,0,2022.11.23,,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,산책로,운동시설","계곡 물놀이,강/물놀이",0,0,0,0,"여름물놀이,가을단풍명소",,가능(소형견),,
3740,루체른,,경기도,가평군,경기 가평군 조종면 운악청계로333번길 19,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,2022.11.23,,"전기,무선인터넷,장작판매,온수,물놀이장,산책로,운동시설",계곡 물놀이,0,0,0,0,"여름물놀이,가을단풍명소",,가능,,
3741,윈드밸리 야영장,민간,강원도,양양군,강원 양양군 서면 구룡령로 1158,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,2022.11.24,개별,"전기,무선인터넷,장작판매,온수",계곡 물놀이,0,0,0,0,"봄꽃여행,가을단풍명소,겨울눈꽃명소",,가능,,
