no,name,gubun,do,sigungu,address,주요시설 일반야영장,주요시설 자동차야영장,주요시설 글램핑,주요시설 카라반,주요시설 개인 카라반,주요시설 덤프스테이션,사이트 크기1 가로,사이트 크기2 가로,사이트 크기3 가로,사이트 크기1 세로,사이트 크기2 세로,사이트 크기3 세로,사이트 크기1 수량,사이트 크기2 수량,사이트 크기3 수량,인허가일자,화로대,부대시설,주변이용가능시설,소화기 개수,방화수 개수,방화사 개수,화재감지기 개수,테마환경,캠핑장비대여,반려동물출입,longitude,latitude
3392,펜캠2495체험학교,민간,경상북도,포항시,경북 포항시 남구 동해면 호미로 2495,41,42,0,0,0,0,0,0,0,0,0,0,42,0,0,2022.5.23,개별,"전기,장작판매,온수,트렘폴린,놀이터,운동장,운동시설,마트_편의점","수상레저,낚시,해수욕",25,0,0,0,"봄꽃여행,여름물놀이,걷기길",,가능(소형견),129.5031419,36.02342008
3393,스테리움 서천,민간,충청남도,서천군,충남 서천군 마서면 삼연길64번길 19,18,4,4,0,0,0,0,0,0,0,0,0,18,4,4,2022.5.25,개별,"전기,장작판매,온수,물놀이장,운동시설,마트_편의점","산책로,낚시,수영장",25,1,1,7,,화로대,가능,126.7151739,36.03669672
3394,둥근돌캠핑장,민간,경기도,양평군,경기 양평군 양동면 몰운고갯길 732-9,0,6,0,0,0,0,0,0,0,0,0,0,2,4,0,2022.5.17,개별,"전기,무선인터넷,장작판매",계곡 물놀이,0,0,0,0,"여름물놀이,가을단풍명소",,가능,127.7418036,37.49208341
3395,또바기캠핑장,민간,경상북도,봉화군,경북 봉화군 소천면 구마동길 483,25,25,0,0,0,0,0,0,0,0,0,0,24,1,0,2022.5.30,개별,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,운동시설","계곡 물놀이,산책로",13,2,2,0,"봄꽃여행,여름물놀이,가을단풍명소",,가능(소형견),128.9679816,36.98423113
3396,시간의바깥,민간,경상남도,남해군,경남 남해군 이동면 보리암로 154,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022.5.11,,,,0,0,0,0,,,,127.9757632,34.77457087
3397,여울카라반,민간,경기도,포천시,경기 포천시 이동면 여우고개로 658,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2022.5.1,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,운동시설",계곡 물놀이,0,0,0,0,"봄꽃여행,여름물놀이",,가능,127.3775787,38.04828471
3398,포도밸리 캠핑장,민간,경기도,가평군,경기 가평군 상면 임초밤안골로 83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022.5.3,,,,0,0,0,0,,,,127.3729731,37.76202333
3399,포천그린별캠핑장,민간,경기도,포천시,경기 포천시 신북면 탑신로 1431,0,28,0,0,0,0,0,0,0,0,0,0,8,20,0,2022.5.4,개별,"전기,무선인터넷,장작판매,물놀이장,운동시설",계곡 물놀이,0,0,0,0,"여름물놀이,가을단풍명소",,가능(소형견),127.1230004,37.9566202
3400,서산벌천포캠핑장,민간,충청남도,서산시,충남 서산시 대산읍 벌천포길 93-25,0,50,5,0,0,0,0,0,0,0,0,0,50,0,0,2022.5.4,개별,"전기,장작판매,온수,물놀이장,놀이터,운동시설","산책로,수상레저,낚시,해수욕",35,0,0,5,"일몰명소,수상레저,여름물놀이,걷기길",,가능(소형견),126.335676,36.97015708
3401,울미숲야영장,민간,경기도,포천시,경기 포천시 군내면 꽃배산2길 73,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022.5.5,,,,0,0,0,0,,,,127.2319724,37.86351829
3402,도그랜드 캠핑장,,경기도,가평군,경기 가평군 조종면 운악청계로 238-84,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,2022.5.6,,"전기,무선인터넷,장작판매,물놀이장,운동시설",계곡 물놀이,0,0,0,0,,,불가능,127.3559449,37.83552499
3403,더원카라반 오토캠핑장,,경기도,가평군,경기 가평군 북면 가화로 2745-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022.5.6,,,,0,0,0,0,,,,127.4478844,37.97448866
3404,온드림캠프,민간,전라북도,완주군,전북 완주군 운주면 금고당로 677,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2022.5.10,,"전기,온수,물놀이장,운동장","계곡 물놀이,산책로",3,0,0,0,여름물놀이,,가능,127.34327,36.05722209
