no,name,gubun,do,sigungu,address,주요시설 일반야영장,주요시설 자동차야영장,주요시설 글램핑,주요시설 카라반,주요시설 개인 카라반,주요시설 덤프스테이션,사이트 크기1 가로,사이트 크기2 가로,사이트 크기3 가로,사이트 크기1 세로,사이트 크기2 세로,사이트 크기3 세로,사이트 크기1 수량,사이트 크기2 수량,사이트 크기3 수량,인허가일자,화로대,부대시설,주변이용가능시설,소화기 개수,방화수 개수,방화사 개수,화재감지기 개수,테마환경,캠핑장비대여,반려동물출입,longitude,latitude
4480,맑을 청,민간,충청북도,진천군,충북 진천군 진천읍 김유신길 340-35,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,2024.6.25,개별,,,0,0,0,0,,,불가능,127.364598810705,36.8490096153525
4481,자연과 숲,민간,인천광역시,강화군,인천 강화군 내가면 고비고개로 515-1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,2024.6.25,개별,,,0,0,0,0,,,불가능,126.431155351643,37.7301934046483
4482,예천패밀리파크,지자체,경상북도,예천군,경상북도 예천군 호명읍 산합리 84-3 ,17,0,3,0,0,0.0,0,0,0,0,0,0,0,0,0,2024.6.27,불가,"전기,장작판매,온수",,13,0,0,0,,,불가능,128.490667815835,36.5709569677095
4483,매월대폭포 캠핑장,민간,강원도,철원군,강원특별자치도 철원군 근남면 매월동길 133,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,2024.6.27,개별,무선인터넷,,0,0,0,0,,,가능(소형견),127.479033361643,38.196254365672
4484,큰마당 오토 캠핑장,민간,충청남도,논산시,충남 논산시 벌곡면 수락로 901-35,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,2024.6.28,개별,,,0,0,0,0,,,불가능,127.26365420894,36.1954319553601
4485,캠블리 캠핑,민간,강원도,영월군,강원특별자치도 영월군 김삿갓면 김삿갓로 497-35,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,2024.6.28,개별,"전기,무선인터넷,장작판매,온수",,0,0,0,0,,,불가능,128.604876486736,37.1012069278443
4486,서울승마힐링캠프,민간,경기도,의정부시,경기 의정부시 동일로192번길 28-67 (장암동),0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,2024.6.28,개별,,,0,0,0,0,,,불가능,127.062141835878,37.7057092515013
4487,제령포레스트 캠프,민간,경기도,가평군,경기 가평군 북면 제령아랫말길 67-61,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,2024.6.28,개별,,,0,0,0,0,,,불가능,127.54204046563,37.8870385637112
4488,포천탑글램핑장,민간,경기도,포천시,경기 포천시 소흘읍 광릉수목원로874번길 51,0,0,15,0,0,0.0,0,0,0,0,0,0,0,0,0,2024.7.3,개별,"전기,무선인터넷,장작판매,온수,물놀이장,산책로,마트_편의점",산책로,18,0,0,16,,,불가능,127.142570606403,37.7808109931056
4489,바이올린글램핑&카라반,민간,경기도,가평군,경기 가평군 가평읍 북한강변로 443,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,2024.7.1,개별,,,0,0,0,0,,,불가능,127.539673531336,37.7671906426682
4490,엔더스뷰,민간,강원도,춘천시,강원특별자치도 춘천시 남면 한덕발산길 447-21,25,0,0,14,0,0.0,0,0,0,0,0,0,0,0,0,2024.5.2,개별,"전기,무선인터넷,장작판매,온수,물놀이장,산책로,마트_편의점","계곡 물놀이,산책로",25,0,0,25,,,불가능,127.623451847692,37.7033551612004
4491,단양 별마루캠핑장,민간,충청북도,단양군,충북 단양군 매포읍 삼곡길 234,5,9,0,2,2,0.0,5,4,0,10,4,0,4,1,0,2024.7.8,개별,"전기,무선인터넷,장작판매,온수,운동장,운동시설","운동장,낚시",15,2,2,15,낚시,"릴선,화로대",가능,128.256296524894,37.0744374508224
4492,울란팍 카라반 캠핑장,민간,경기도,가평군,경기 가평군 조종면 운악청계로 424,3,0,2,11,0,0.0,0,0,0,0,0,0,0,0,0,2024.6.14,개별,"전기,무선인터넷,장작판매,온수,운동장",운동장,13,2,2,13,,,가능,127.356358416174,37.8531004438451
4493,어게인 스쿨,민간,강원도,횡성군,강원특별자치도 횡성군 강림면 주천강로 488,19,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,2024.7.5,개별,"전기,장작판매,온수,마트_편의점","계곡 물놀이,산책로,운동장,낚시,강/물놀이,청소년체험시설,농어촌체험시설",25,1,1,0,,,가능(소형견),128.158094053953,37.349676011468
